VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
4425,MARTIGNETTI COMPANIES,36524,Ch de Ribebon Brdx,10.13,14.99,750.0,3591,36376.830000000096,2976.0,44610.2400000002,26922.04000000092,330.2500000000128,144929.24,8233.410000000105,18.45632303255949,0.8287385129490392,1.2263366544033685
516,BANFI PRODUCTS CORP,8630,Fontana Candida Frascati,5.47,7.99,750.0,3010,16464.69999999996,2940.0,23326.600000000108,11653.849999999737,327.2100000000069,8510.410000000002,6861.900000000147,29.416631656564245,0.9767441860465116,1.4167643503981344
9165,ULTRA BEVERAGE COMPANY LLP,25894,Deneufbourg White 14,6.16,8.99,750.0,198,1219.6800000000003,116.0,1042.8400000000006,647.2800000000004,12.86,68054.70000000003,-176.8399999999997,-16.957539028038777,0.5858585858585859,0.8550111504656962
7245,PROXIMO SPIRITS INC.,4174,Kraken Black Spiced Rum,21.59,29.99,1750.0,8290,178981.09999999928,7883.0,230394.16999999373,167079.95999999857,14489.630000000658,38994.78000000001,51413.06999999445,22.31526518227256,0.9509047044632088,1.2872541849390502
8673,STE MICHELLE WINE ESTATES,10399,Spring Vly Uriah Walla Walla,21.33,31.99,750.0,7,149.31,11.0,380.89,310.91,1.2200000000000002,15919.700000000004,231.58000000000004,60.79970595184962,1.5714285714285714,2.55100127252026
90011,FORTUNE WINE BROKERS LLC,16178,Lobstah White,5.95,9.99,750.0,59,351.05,105.0,1108.9500000000005,515.5200000000002,11.709999999999996,238.61,757.9000000000005,68.3439289417918,1.7796610169491525,3.1589517162797334
9165,ULTRA BEVERAGE COMPANY LLP,2796,Teeling Single Malt Whiskey,47.99,59.99,750.0,180,8638.199999999999,131.0,7858.689999999982,6958.839999999983,103.41000000000018,68054.70000000003,-779.5100000000166,-9.919083205979856,0.7277777777777777,0.9097601352133527
1587,VINEYARD BRANDS LLC,27763,Warre's Port 1970,107.38,159.99,750.0,24,2577.12,5.0,799.95,799.95,0.55,6070.089999999999,-1777.1699999999998,-222.160135008438,0.2083333333333333,0.3104046377351462
10754,PERFECTA WINES,23902,Dom St Andrieu Rose CdP,10.52,15.99,750.0,54,568.08,169.0,2702.3099999999968,1614.9900000000007,18.76999999999997,28720.52,2134.229999999997,78.97798550129332,3.1296296296296298,4.75691803971271
4425,MARTIGNETTI COMPANIES,25714,Grgich Hills Cab Svgn Napa,38.35,62.99,750.0,693,26576.55000000001,560.0,36684.40000000007,23924.360000000124,62.01999999999985,144929.24,10107.850000000051,27.55353774356412,0.8080808080808081,1.380329651516094
1650,Circa Wines,23444,Quota 31 Primitivo IGP,8.27,11.99,750.0,24,198.48,24.0,287.76,23.98,2.7,211.97,89.28,31.02585487906589,1.0,1.449818621523579
9165,ULTRA BEVERAGE COMPANY LLP,2787,Glenrothes Vintage Rsv,33.08,46.99,750.0,1014,33543.119999999966,982.0,43350.18000000001,37289.5600000003,774.7099999999951,68054.70000000003,9807.06000000004,22.62288184270524,0.9684418145956608,1.2923717292845762
4425,MARTIGNETTI COMPANIES,21342,Dom du Garde Temps Tour Rose,10.52,15.99,750.0,263,2766.76,487.0,7787.129999999978,2158.65,54.45999999999996,144929.24,5020.369999999979,64.47009360316308,1.851711026615969,2.8145303531928967
653,STATE WINE & SPIRITS,23255,Balletto Vyds Pnt Gris,7.94,11.99,750.0,1617,12838.98000000001,2560.0,30694.400000000503,16857.939999999806,284.53000000000685,8014.98,17855.420000000493,58.171588302752944,1.583178726035869,2.390719511986192
9552,M S WALKER INC,24492,Long Meadow Ranch Svgn Bl,12.49,18.99,750.0,24,299.76,0.0,0.0,0.0,0.0,55551.81999999999,-299.76,-inf,0.0,0.0
9552,M S WALKER INC,2938,Kennedy's Original Irish,11.42,15.99,750.0,5,57.1,33.0,527.6700000000001,367.7700000000001,26.029999999999998,55551.81999999999,470.5700000000001,89.17884283737942,6.6,9.241155866900176
10754,PERFECTA WINES,25317,Grammercy Cellars Cab Svgn,32.67,49.99,750.0,36,1176.12,16.0,799.84,349.93,1.7900000000000005,28720.52,-376.2800000000001,-47.04440888177636,0.4444444444444444,0.6800666598646397
9165,ULTRA BEVERAGE COMPANY LLP,22902,Hermann J Wiemer Semi Dry Rs,11.1,16.99,750.0,649,7203.899999999995,579.0,9760.209999999928,6729.009999999941,64.07999999999986,68054.70000000003,2556.309999999933,26.191137280857195,0.8921417565485362,1.354850844681344
3252,E & J GALLO WINERY,36153,Edna Valley Paragon Pnt Nr,9.58,13.99,750.0,1300,12453.999999999982,1276.0,16405.239999999838,10094.279999999866,141.59000000000063,61966.91,3951.239999999856,24.085231304143644,0.9815384615384616,1.3172667416091104
4425,MARTIGNETTI COMPANIES,26868,Olivier Chanzy Nuits St Geor,39.99,59.99,750.0,84,3359.1600000000003,50.0,2999.499999999999,659.89,5.610000000000001,144929.24,-359.6600000000012,-11.990665110851854,0.5952380952380952,0.8929315662248892
480,BACARDI USA INC,4214,Bacardi O Orange Rum,7.57,11.99,750.0,112,847.8400000000001,116.0,1552.8400000000006,751.4500000000004,91.37000000000003,89286.26999999999,705.0000000000005,45.40068519615673,1.0357142857142858,1.83152481600302
12331,STELLAR IMPORTING CO LLC,236,Loukatos Mastic Liqueur,13.23,17.99,750.0,18,238.14,27.0,485.7300000000001,323.82000000000005,21.27,119.22999999999998,247.59000000000012,50.972762645914415,1.5,2.0396825396825404
12546,JIM BEAM BRANDS COMPANY,2161,Canadian Club Classic,15.26,19.99,750.0,2957,45123.82000000004,2923.0,61452.7699999996,43386.36000000007,2304.129999999962,123880.97,16328.949999999551,26.571544293283544,0.9885018599932364,1.3618698505578548
1590,DIAGEO CHATEAU ESTATE WINES,39923,Sterling Vintner Clt Svgn Bl,6.55,9.95,750.0,2038,13348.900000000023,2002.0,20291.97999999997,12102.079999999787,222.16000000000332,7259.75,6943.079999999949,34.21588233380852,0.9823356231599608,1.520123755515431
9552,M S WALKER INC,19583,Lokoya Mt Veeder Cab Svgn,221.08,324.99,750.0,14,3095.12,11.0,3574.8900000000003,1299.96,1.23,55551.81999999999,479.7700000000005,13.420552800226032,0.7857142857142857,1.1550085295562047
4425,MARTIGNETTI COMPANIES,13950,Cade Svgn Bl Napa Cuvee,19.86,29.99,750.0,72,1429.92,46.0,1469.5400000000002,992.6900000000002,5.090000000000001,144929.24,39.62000000000012,2.696081767083585,0.6388888888888888,1.0277078437954572
8004,SAZERAC CO INC,5603,Gran Gala Liqueur,0.79,0.99,50.0,99,78.21000000000001,481.0,476.19000000000057,123.74999999999972,25.00000000000006,50293.62000000002,397.9800000000006,83.57588357588361,4.858585858585859,6.088607594936716
